Source,Target,StartTime,EndTime,LinkType
LEO_57 +X_OCT,LEO_58 -X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
LEO_58 +X_OCT,LEO_59 -X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
LEO_59 +X_OCT,LEO_60 -X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
LEO_60 +X_OCT,LEO_61 -X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
LEO_61 +X_OCT,LEO_62 -X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
LEO_62 +X_OCT,LEO_63 -X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
LEO_63 +X_OCT,LEO_64 -X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
LEO_1 -X_OCT,LEO_8 +X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
LEO_9 -X_OCT,LEO_16 +X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
LEO_17 -X_OCT,LEO_24 +X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
LEO_25 -X_OCT,LEO_32 +X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
LEO_33 -X_OCT,LEO_40 +X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
LEO_41 -X_OCT,LEO_48 +X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
LEO_49 -X_OCT,LEO_56 +X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
LEO_57 -X_OCT,LEO_64 +X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
LEO_39 +Y_OCT,LEO_46 -Y_OCT,16-Feb-2023 00:02:30,16-Feb-2023 00:50:30,LEO_LEO
LEO_35 -Y_OCT,LEO_42 +Y_OCT,16-Feb-2023 00:02:30,16-Feb-2023 00:50:30,LEO_LEO
LEO_43 +Y_OCT,LEO_50 -Y_OCT,16-Feb-2023 00:55:30,16-Feb-2023 01:43:30,LEO_LEO
LEO_47 -Y_OCT,LEO_54 +Y_OCT,16-Feb-2023 00:55:30,16-Feb-2023 01:43:30,LEO_LEO
LEO_50 +Y_OCT,LEO_57 -Y_OCT,16-Feb-2023 01:07:30,16-Feb-2023 01:55:30,LEO_LEO
LEO_54 -Y_OCT,LEO_61 +Y_OCT,16-Feb-2023 01:07:30,16-Feb-2023 01:55:30,LEO_LEO
LEO_46 +Y_OCT,LEO_53 -Y_OCT,16-Feb-2023 00:14:30,16-Feb-2023 01:02:30,LEO_LEO
LEO_42 -Y_OCT,LEO_49 +Y_OCT,16-Feb-2023 00:14:30,16-Feb-2023 01:02:30,LEO_LEO
LEO_36 +Y_OCT,LEO_43 -Y_OCT,16-Feb-2023 00:43:30,16-Feb-2023 01:31:30,LEO_LEO
LEO_40 -Y_OCT,LEO_47 +Y_OCT,16-Feb-2023 00:43:30,16-Feb-2023 01:31:30,LEO_LEO
LEO_53 +Y_OCT,LEO_60 -Y_OCT,16-Feb-2023 00:26:30,16-Feb-2023 01:14:30,LEO_LEO
LEO_49 -Y_OCT,LEO_64 +Y_OCT,16-Feb-2023 00:26:30,16-Feb-2023 01:14:30,LEO_LEO
LEO_29 +Y_OCT,LEO_36 -Y_OCT,16-Feb-2023 00:31:30,16-Feb-2023 01:19:30,LEO_LEO
LEO_25 -Y_OCT,LEO_40 +Y_OCT,16-Feb-2023 00:31:30,16-Feb-2023 01:19:30,LEO_LEO
LEO_8 +Y_OCT,LEO_64 -Y_OCT,16-Feb-2023 00:38:30,16-Feb-2023 01:26:30,LEO_LEO
LEO_4 -Y_OCT,LEO_60 +Y_OCT,16-Feb-2023 00:38:30,16-Feb-2023 01:26:30,LEO_LEO
LEO_22 +Y_OCT,LEO_29 -Y_OCT,16-Feb-2023 00:19:30,16-Feb-2023 01:07:30,LEO_LEO
LEO_18 -Y_OCT,LEO_25 +Y_OCT,16-Feb-2023 00:19:30,16-Feb-2023 01:07:30,LEO_LEO
LEO_4 +Y_OCT,LEO_11 -Y_OCT,16-Feb-2023 00:50:30,16-Feb-2023 01:38:30,LEO_LEO
LEO_8 -Y_OCT,LEO_15 +Y_OCT,16-Feb-2023 00:50:30,16-Feb-2023 01:38:30,LEO_LEO
LEO_19 +Y_OCT,LEO_26 -Y_OCT,16-Feb-2023 01:00:30,16-Feb-2023 01:48:30,LEO_LEO
LEO_23 -Y_OCT,LEO_30 +Y_OCT,16-Feb-2023 01:00:30,16-Feb-2023 01:48:30,LEO_LEO
LEO_7 +Y_OCT,LEO_14 -Y_OCT,16-Feb-2023 00:09:30,16-Feb-2023 00:57:30,LEO_LEO
LEO_3 -Y_OCT,LEO_10 +Y_OCT,16-Feb-2023 00:09:30,16-Feb-2023 00:57:30,LEO_LEO
LEO_12 +Y_OCT,LEO_19 -Y_OCT,16-Feb-2023 00:48:30,16-Feb-2023 01:36:30,LEO_LEO
LEO_16 -Y_OCT,LEO_23 +Y_OCT,16-Feb-2023 00:48:30,16-Feb-2023 01:36:30,LEO_LEO
LEO_14 +Y_OCT,LEO_21 -Y_OCT,16-Feb-2023 00:21:30,16-Feb-2023 01:09:30,LEO_LEO
LEO_10 -Y_OCT,LEO_17 +Y_OCT,16-Feb-2023 00:21:30,16-Feb-2023 01:09:30,LEO_LEO
LEO_5 +Y_OCT,LEO_12 -Y_OCT,16-Feb-2023 00:36:30,16-Feb-2023 01:24:30,LEO_LEO
LEO_1 -Y_OCT,LEO_16 +Y_OCT,16-Feb-2023 00:36:30,16-Feb-2023 01:24:30,LEO_LEO
LEO_21 +Y_OCT,LEO_28 -Y_OCT,16-Feb-2023 00:33:30,16-Feb-2023 01:21:30,LEO_LEO
LEO_17 -Y_OCT,LEO_32 +Y_OCT,16-Feb-2023 00:33:30,16-Feb-2023 01:21:30,LEO_LEO
LEO_6 +Y_OCT,LEO_62 -Y_OCT,16-Feb-2023 01:05:30,16-Feb-2023 01:53:30,LEO_LEO
LEO_2 -Y_OCT,LEO_58 +Y_OCT,16-Feb-2023 01:05:30,16-Feb-2023 01:53:30,LEO_LEO
LEO_26 +Y_OCT,LEO_33 -Y_OCT,16-Feb-2023 01:12:30,16-Feb-2023 02:00:00,LEO_LEO
LEO_30 -Y_OCT,LEO_37 +Y_OCT,16-Feb-2023 01:12:30,16-Feb-2023 02:00:00,LEO_LEO
LEO_31 +Y_OCT,LEO_38 -Y_OCT,16-Feb-2023 00:04:30,16-Feb-2023 00:51:30,LEO_LEO
LEO_27 -Y_OCT,LEO_34 +Y_OCT,16-Feb-2023 00:04:30,16-Feb-2023 00:51:30,LEO_LEO
LEO_51 +Y_OCT,LEO_58 -Y_OCT,16-Feb-2023 00:54:30,16-Feb-2023 01:41:30,LEO_LEO
LEO_55 -Y_OCT,LEO_62 +Y_OCT,16-Feb-2023 00:54:30,16-Feb-2023 01:41:30,LEO_LEO
LEO_38 +Y_OCT,LEO_45 -Y_OCT,16-Feb-2023 00:16:30,16-Feb-2023 01:03:30,LEO_LEO
LEO_34 -Y_OCT,LEO_41 +Y_OCT,16-Feb-2023 00:16:30,16-Feb-2023 01:03:30,LEO_LEO
LEO_44 +Y_OCT,LEO_51 -Y_OCT,16-Feb-2023 00:42:30,16-Feb-2023 01:29:30,LEO_LEO
LEO_48 -Y_OCT,LEO_55 +Y_OCT,16-Feb-2023 00:42:30,16-Feb-2023 01:29:30,LEO_LEO
LEO_45 +Y_OCT,LEO_52 -Y_OCT,16-Feb-2023 00:28:30,16-Feb-2023 01:15:30,LEO_LEO
LEO_41 -Y_OCT,LEO_56 +Y_OCT,16-Feb-2023 00:28:30,16-Feb-2023 01:15:30,LEO_LEO
LEO_52 +Y_OCT,LEO_59 -Y_OCT,16-Feb-2023 00:40:30,16-Feb-2023 01:27:30,LEO_LEO
LEO_56 -Y_OCT,LEO_63 +Y_OCT,16-Feb-2023 00:40:30,16-Feb-2023 01:27:30,LEO_LEO
LEO_13 +Y_OCT,LEO_20 -Y_OCT,16-Feb-2023 00:35:30,16-Feb-2023 01:22:30,LEO_LEO
LEO_9 -Y_OCT,LEO_24 +Y_OCT,16-Feb-2023 00:35:30,16-Feb-2023 01:22:30,LEO_LEO
